0 7 26.8
1 7 0.07
2 7 0.43
3 7 0.07
4 7 0.29
5 7 0.1
6 7 0
7 7 0

0 6 0.07
1 6 53.14
2 6 0.76
3 6 0.08
4 6 0.71
5 6 0.35
6 6 0.11
7 6 0

0 5 0.43
1 5 0.76
2 5 0.56
3 5 8.85
4 5 0.07
5 5 0.4
6 5 1.26
7 5 0.58

0 4 0.07
1 4 0.08
2 4 8.85
3 4 0.21
4 4 0.33
5 4 0.03
6 4 0.17
7 4 0.01

0 3 0.29
1 3 0.71
2 3 0.07
3 3 0.33
4 3 0.19
5 3 0.01
6 3 0.57
7 3 1.1

0 2 0.1
1 2 0.35
2 2 0.4
3 2 0.03
4 2 0.01
5 2 0.68
6 2 0
7 2 0.01

0 1 0
1 1 0.11
2 1 1.26
3 1 0.17
4 1 0.57
5 1 0
6 1 2.06
7 1 0

0 0 0
1 0 0
2 0 0.58
3 0 0.01
4 0 1.1
5 0 0.01
6 0 0
7 0 0.01
