0 7 2.09
1 7 0
2 7 0.06
3 7 0
4 7 0.01
5 7 0.01
6 7 0
7 7 0

0 6 0
1 6 8.32
2 6 0.27
3 6 0
4 6 0.26
5 6 0.01
6 6 0
7 6 0

0 5 0.06
1 5 0.27
2 5 0.39
3 5 0.23
4 5 0.45
5 5 0.14
6 5 0.85
7 5 0.01

0 4 0
1 4 0
2 4 0.23
3 4 0.08
4 4 0.44
5 4 0
6 4 0.01
7 4 0

0 3 0.01
1 3 0.26
2 3 0.45
3 3 0.44
4 3 85.93
5 3 0.01
6 3 0.27
7 3 0

0 2 0.01
1 2 0.01
2 2 0.14
3 2 0
4 2 0.01
5 2 0.11
6 2 0
7 2 0

0 1 0
1 1 0
2 1 0.85
3 1 0.01
4 1 0.27
5 1 0
6 1 0.02
7 1 0

0 0 0
1 0 0
2 0 0.01
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0.02
